address,timestamp,amount,type
0xba4bd1c672f0046ecd6a10273ec77d0bb0c10073,103855886,1939899058388190000000,EOA
0x54cc6c3e1d66155397cd428e65aff3f20fc2cabe,85807931,1939589341459430000000,EOA
0x0f504b06bf14f9584baf9dcbb3caca645b136ba5,50358216,1909492564987160000000,EOA
0x5475f42318884ed62be92b08058845c31c1979f4,51089046,1877890685623440000000,EOA
0x1892b15cece1471494af00e7552693f3facc8ec8,81110045,1840414722742470000000,EOA
0x959d7987d9d03583e801905a95624084a7f16645,50511841,1822158052892230000000,EOA
0x65f26954f3014f4356876cb1806a56258f6965e8,84910578,1819803703136420000000,EOA
0x792110d7bab2273b0c084d4e5a6fddb9f8cd6673,94554194,1777723809859960000000,EOA
0x30cefa3a6b3d8295b141c279dc84012d2a7bc689,84667658,1762899990641390000000,EOA
0xaf65c100ffeba4bc89f0d801d7662c5a6238b481,79553351,1761112125094290000000,EOA
0xcdab32d68706f3648e7edd013ad2f38e76f71040,84496411,1744710764580860000000,EOA
0x52997d5abc01e9bfdd29cccb183ffc60f6d6bf8c,80172401,1742917529318940000000,EOA
0x559524b8d5af5292e4ca30b30ea3dc8261e1dea4,95627576,1729627747532390000000,EOA
0x787b4b7ffef8eddad54f311039acf4c36fec9593,37400260,1717912113899680000000,EOA
0x6ab880afd1e0c7786cc5d05f4fd9b17761768da8,93611220,1675037902683360000000,EOA
0x6792c4e8a9efb4ab04e73e9b1c9bf16b7ccc74c9,84822231,1673395338990330000000,EOA
0x117b9431a2f540c276604f3c3dd52a8fbf586860,47928045,1654480553669820000000,EOA
0xeefd6537adbda7b1a9da3f6607dda26b048489c2,98483201,1653664263356670000000,EOA
0xe546b43e7ff912fef7ed75d69c1d1319595f6080,40798379,1648369829159760000000,EOA
0x5e5ffef1103717f17a9a155d0c7646ec5e16551e,84646344,1630526329217410000000,EOA
0x6e52a3f199b9e2da6f9bce4a395cb015a0c737d9,87888449,1627505260873650000000,EOA
