Total QI locked,"72,311,886",,,,,,,
"QI locked, not counting liquid lockers","65,758,243",,,,,,,
QI locked by liquid lockers,"6,553,642",,,,,,,
Total QI to be distributed (80%),"57,849,509",,,,,,,
Total BPT tokens for aveQI migration,"9,052,921",,,,,,,
Share of BPTs distributed to non-liquid lockers,90.94%,,,,,,,
Share of BPTs distributed to liquid lockers,9.06%,,,,,,,
Total BPT tokens distributed to non-liquid lockers,"8,232,453",,,,,,,
Total BPT tokens distributed to liquid lockers,"820,468",,,,,,,
,,,,,,,,
address,polygon endblock,amount,share of total BPTs,share of non-liquid locker BPTs,share of liquid locker BPTs,amount of non-liquid locker distribution,amount of liquid locker distribution,type
0x76b20a25373250d1229070d8876c45a675e61d89,99455028,"4,653.99",0.0064360%,0.0070774%,NA,582.6459478,,EOA
0x0a2c837d4fde49e5f27517a1edf25e13b1ffa2a9,54958522,"4,652.78",0.0064343%,0.0070756%,NA,582.4943283,,EOA
0x56e25f7082d893f3c2d4f98b81e0a4381bcdd77b,48644557,"4,647.55",0.0064271%,0.0070676%,NA,581.8397564,,EOA
0x6278f579c3ae0c298aa1c63ff5101ff42bc8f101,87787917,"4,646.81",0.0064261%,0.0070665%,NA,581.7470701,,EOA
0xa6fa0280fb7f57328372cca92d06ac504c9ff572,56733386,"4,623.10",0.0063933%,0.0070304%,NA,578.7779135,,EOA
0x7cf7d9ab22d62486d9c79585acd4841817ae68bc,102888389,"4,595.69",0.0063554%,0.0069888%,NA,575.3467185,,EOA
0xa8470d7e5052f64f87db7e5d40ca660cfe339531,86398178,"4,581.70",0.0063360%,0.0069675%,NA,573.5955851,,EOA
0xa296838638646f5d411169ef6c308cc745c2c74a,83789711,"4,571.75",0.0063223%,0.0069524%,NA,572.3502917,,EOA
0xafeddf47589d5c9c58754143c04dc5ccd9820909,85886046,"4,548.95",0.0062907%,0.0069177%,NA,569.4960141,,EOA
0xa7f73316e620382ddbb7bce83459772ebcd00fa3,84847230,"4,531.39",0.0062665%,0.0068910%,NA,567.2968559,,EOA
0x1beba25d86fce53c6bdb028d2bf71abdc9b6a9ce,57553084,"4,479.77",0.0061951%,0.0068125%,NA,560.8343180,,EOA
0x322874863704d6c6927b58a0a8c72a69193ba637,82950685,"4,398.88",0.0060832%,0.0066895%,NA,550.7082833,,EOA
0x1703e33e3c0b3f8cb0b614d8a623345c4053ceab,89925054,"4,381.20",0.0060588%,0.0066626%,NA,548.4947816,,EOA
0x56e7d2a9d752bbc63b47215ea3608eb85a5968d7,99395467,"4,348.62",0.0060137%,0.0066130%,NA,544.4151217,,EOA
0xc30bd79d8a637d301d676480902bddbfe08582f3,99710219,"4,336.67",0.0059972%,0.0065949%,NA,542.9199537,,EOA
0xf590d85c60fa9aa932877073a93cce542bb247ce,107414253,"4,281.98",0.0059215%,0.0065117%,NA,536.0730458,,EOA
0xb646e04fa4dbf9f69b5a8dbad9dd7c83e4033654,83829614,"4,263.25",0.0058956%,0.0064832%,NA,533.7272801,,EOA
0x4ea6415289cf688f8a19381e1a9af213d2510454,100186141,"4,229.39",0.0058488%,0.0064317%,NA,529.4888486,,EOA
0x1efe89c3c8bd55803e4295960b942a2b9bb91782,86633528,"4,226.63",0.0058450%,0.0064275%,NA,529.1426489,,EOA
0x0a0ae914771ec0a5851049864ccc27b1baa8cd43,102833665,"4,218.87",0.0058343%,0.0064157%,NA,528.1718359,,EOA
0xdf501d7d38624d7b069fb7c38348095c64dff767,95673797,"4,217.77",0.0058327%,0.0064141%,NA,528.0336482,,EOA
0x27861e390d45715fb8c2498cb66800019cf2dbe5,41897278,"4,207.06",0.0058179%,0.0063978%,NA,526.6932332,,EOA
0x60959ed8307ee2b0d04306f6b319aeee8864f1ee,88594219,"4,190.25",0.0057947%,0.0063722%,NA,524.5886046,,EOA
0xdba26a609737440456a54c2eeb6feffc4399d986,54918546,"4,156.38",0.0057478%,0.0063207%,NA,520.3480756,,EOA
0x36e272fa836115837b1dce51fbd8f273f7d839d3,27094476,"4,141.73",0.0057276%,0.0062984%,NA,518.5144853,,EOA
0xb2fdb7b3773dfe1cc43cd15964acd2dcd210f8b2,46177350,"4,137.14",0.0057213%,0.0062914%,NA,517.9402929,,EOA
0x7217a656bd5442ad6aa51014e19846f4eaf42fe4,77306720,"4,099.11",0.0056686%,0.0062336%,NA,513.1781699,,EOA
0xce1f76ea807d282861ef802d06355c9a19bc82f5,43483811,"4,086.68",0.0056515%,0.0062147%,NA,511.6220323,,EOA
0x9e5f08992e56cdc14e516e40879126175fb7b9b5,46338161,"4,070.95",0.0056297%,0.0061908%,NA,509.6532841,,EOA
0xba8765802198e5c19f2ba8fe9b0da2b225927aaf,94982866,"4,032.06",0.0055759%,0.0061316%,NA,504.7844442,,EOA
0xd8b2b7f42873f111348c835563e26865474337db,88400610,"4,018.56",0.0055573%,0.0061111%,NA,503.0947860,,EOA
0xa3b11d1f06d71eaa9cd3d0142f08e7ace9b474ec,44327159,"4,007.66",0.0055422%,0.0060945%,NA,501.7299915,,EOA
0x49a5492fdfe5acc966dd5f41310dfdfe8daa349c,103384230,"4,000.00",0.0055316%,0.0060829%,NA,500.7712692,,EOA
0xb2ed0ed2dbea28b3ff3eee974f862ea17205c5e7,80452801,"3,984.27",0.0055098%,0.0060590%,NA,498.8012981,,EOA
0xfaff4170e628aef5c5ce84c47ebddb5a99517fe2,27782850,"3,975.48",0.0054977%,0.0060456%,NA,497.7017182,,EOA
0x6b13b36d7f0add9c96f9aebc884374d9e974ba6a,88443432,"3,923.06",0.0054252%,0.0059659%,NA,491.1379725,,EOA
0x20d3d421e06e43d280e685067e329b780915a757,81415632,"3,885.21",0.0053729%,0.0059083%,NA,486.4002789,,EOA
0xa66539b1b76d040c1a6632f8bd85d3da1dbfd35e,27814686,"3,876.08",0.0053602%,0.0058944%,NA,485.2568398,,EOA
0x02491d37984764d39b99e4077649dcd349221a62,80615404,"3,787.80",0.0052381%,0.0057602%,NA,474.2045620,,EOA
0xbb40888f5c2509eba0dce37dbb02d15f6d26e1fc,79625657,"3,782.92",0.0052314%,0.0057528%,NA,473.5940725,,EOA
0x829ceb00fc74bd087b1e50d31ec628a90894cd52,77849612,"3,773.02",0.0052177%,0.0057377%,NA,472.3540573,,EOA
0x2def61ac775df19ae12cf41909795aadb8a334c0,83122645,"3,757.39",0.0051961%,0.0057139%,NA,470.3980246,,EOA
0x1680c3d528f4814bb3997b8ad4a2f361bd7020e7,95955665,"3,756.93",0.0051955%,0.0057132%,NA,470.3400090,,EOA
0xabada1b4fb722c50c682fdbd9c6df0de74c061d1,26377687,"3,751.33",0.0051877%,0.0057047%,NA,469.6385780,,EOA
0xac59f71c383de1ef94802676f72f1bae3d7d3029,37684316,"3,706.48",0.0051257%,0.0056365%,NA,464.0236678,,EOA
0xfe8d5dea7987d101247243d5bbaf7804a1ff187a,102937214,"3,689.50",0.0051022%,0.0056107%,NA,461.8987425,,EOA
0x6ca0d65fe5c8700a5cc7a2c3bfe801111a1ded1a,84491456,"3,661.80",0.0050639%,0.0055686%,NA,458.4311894,,EOA
0x6a11bb3014df9d228037f62510940633215ca1b5,51198205,"3,658.46",0.0050593%,0.0055635%,NA,458.0119222,,EOA
0x42fd445e08c89e264695e3687d3fd3547c75d6b2,84828558,"3,631.01",0.0050213%,0.0055218%,NA,454.5758393,,EOA
0x21a0b6fd81ec697e326228df279f9add0d1b021a,78067371,"3,606.80",0.0049878%,0.0054849%,NA,451.5445245,,EOA
0xe5c4f20d6e299a637a5c172d181c30ca5950b852,101474243,"3,603.39",0.0049831%,0.0054797%,NA,451.1175759,,EOA
0xcf3ccafeaa0468e39b80b67b6e2b4ea3dcc8bef3,46724170,"3,553.64",0.0049143%,0.0054041%,NA,444.8894633,,EOA
0x7626f002aabc4bbd96505ff9537db75c82dd07dc,91370094,"3,544.24",0.0049013%,0.0053898%,NA,443.7130095,,EOA
0x441c6DF564072EDD4D3d543C6cFCFB0A0EE95F7c,82565159,"3,502.66",0.0048438%,0.0053266%,NA,438.5072025,,EOA
0xc258d51d09bbfb9d99365e95d16d197a78469128,85725603,"3,501.27",0.0048419%,0.0053245%,NA,438.3340267,,EOA
0x604115c5e484fd8adfd79123817e48257c96a925,100796547,"3,473.23",0.0048031%,0.0052818%,NA,434.8231682,,EOA
0x4530f3959ba3a9cd11020e34f985ca093bf5a54d,50969050,"3,453.91",0.0047764%,0.0052524%,NA,432.4037564,,EOA
0x9e13e09c176abb6a8fbda9e0272c728d20f188af,49046223,"3,451.51",0.0047731%,0.0052488%,NA,432.1035917,,EOA
0x28bc398d2fcab74212b766b15e26ebd986b5fffa,52165694,"3,379.37",0.0046733%,0.0051391%,NA,423.0731045,,EOA
0x9b484838af17ee7f9852b1de53a356fa4e1cdfe9,28013291,"3,310.77",0.0045785%,0.0050348%,NA,414.4839706,,EOA
0x70192b2f68ad1840dfb5ff051b80f730373e81b8,77878574,"3,267.01",0.0045179%,0.0049682%,NA,409.0062085,,EOA
0x0339cef12a92ecfb9700d051400abfa6ee585c97,52335542,"3,254.84",0.0045011%,0.0049497%,NA,407.4817249,,EOA
0xc85e968c6bb78fe5148804438ae9e5abd6895fd2,62078131,"3,244.23",0.0044864%,0.0049336%,NA,406.1535136,,EOA
0x0d492c9bfd27778ee42270f7e5bbd9b73cf56c49,45820165,"3,241.12",0.0044821%,0.0049288%,NA,405.7648345,,EOA
0x195b8b9598904b55e9770492bd697529492034a2,82421838,"3,239.89",0.0044804%,0.0049270%,NA,405.6104850,,EOA
0xeb7989a7c04b70cea2bef6c2160ab7afca2a0d98,83959760,"3,239.70",0.0044802%,0.0049267%,NA,405.5873917,,EOA
0x3d713067761725e6a237e5a0572aa47348eafe3d,100856241,"3,208.16",0.0044366%,0.0048787%,NA,401.6387774,,EOA
0xfba9034ed1c0767bfaa5b51768e0c0576f94cfa0,79779821,"3,195.62",0.0044192%,0.0048597%,NA,400.0686391,,EOA
0x3830f1290da3fdb91a337a1458aa34f60c49ffcc,94789457,"3,189.26",0.0044104%,0.0048500%,NA,399.2726462,,EOA
0xb5e83ad7b19346587046e4d9c17c28abc2039f21,85137231,"3,187.56",0.0044081%,0.0048474%,NA,399.0594594,,EOA
0x28c6e0a61925c5f36a095c8772e60d369e5aaca1,108199368,"3,178.18",0.0043951%,0.0048331%,NA,397.8843941,,EOA
0xd917802e8927969a824ca5fbcdb635fab76ff8ac,78120291,"3,176.52",0.0043928%,0.0048306%,NA,397.6767965,,EOA
0x56a356c378c5fa08dfd32ee4ca0dce93f328ba37,86133074,"3,175.84",0.0043919%,0.0048296%,NA,397.5918584,,EOA
0xd08bd681db889b8bf3095cdaa863a05028a7c1e7,89384697,"3,175.62",0.0043916%,0.0048292%,NA,397.5647000,,EOA
0xfec2de8d9e77214cd219cd03c0e722d82b4de541,78114859,"3,136.80",0.0043379%,0.0047702%,NA,392.7046231,,EOA
0x97404c966418c0c91d23de5f1c159ed010f76914,83828619,"3,115.49",0.0043084%,0.0047378%,NA,390.0372098,,EOA
0x7abfce9bf06c6caefdeb03b825c6f28cff55ae90,108458679,"3,085.84",0.0042674%,0.0046927%,NA,386.3247772,,EOA
0x5dff1e7ade052b382bc3bbf627768808a962c334,84090452,"3,073.84",0.0042508%,0.0046744%,NA,384.8218736,,EOA
0x28cf3c605216a841b1e3b77aad0c82d760ed7a00,89169595,"3,064.89",0.0042384%,0.0046609%,NA,383.7022798,,EOA
0xe87a10d5b212d169ccbc9a50cf5e23dd3da27cb6,105963503,"3,037.43",0.0042005%,0.0046191%,NA,380.2634819,,EOA
0xc9e61985359f49bebe66c6de28b841d6b90badac,51085549,"3,037.18",0.0042001%,0.0046187%,NA,380.2326363,,EOA
0x47d6f96ba098816389db7c87cbf077de7181b853,84607788,"3,029.72",0.0041898%,0.0046074%,NA,379.2988286,,EOA
0xb6a49b08f72f3ca662dee27c171658a576ca293b,18757329,"3,010.66",0.0041634%,0.0045784%,NA,376.9123374,,EOA
0x7b0d3e6a5802b93839c0b0a774a44fb4c789f37b,30318039,"3,005.35",0.0041561%,0.0045703%,NA,376.2482521,,EOA
0x06a49bad481e9b533f8d7abc1ed2c755b5c95e22,66797810,"3,000.00",0.0041487%,0.0045622%,NA,375.5781371,,EOA
0x3c90a3d43f3f5f2d876c02ac3032fa72bc067e50,48023272,"3,000.00",0.0041487%,0.0045622%,NA,375.5781371,,EOA
0x3dd46c99d08d62e0a5abb5f755656eafb0aa4e43,78048201,"3,000.00",0.0041487%,0.0045622%,NA,375.5781371,,EOA
0x58106b4475ba06994f95e230a68ccc957ee7896b,28653772,"3,000.00",0.0041487%,0.0045622%,NA,375.5781371,,EOA
0x49991a1e729652c62a328a5a47996f3dfeb3df40,80694486,"2,956.97",0.0040892%,0.0044967%,NA,370.1914507,,EOA
0xfee0a5607c453f0ea32599ad0388eabd37a9c404,78643201,"2,913.23",0.0040287%,0.0044302%,NA,364.7146642,,EOA
0xd4cb36e89074608e36cd138ea4bbdc8eff1cafaf,31650016,"2,896.12",0.0040050%,0.0044042%,NA,362.5733328,,EOA
0xad0bced4330bf3632d3bdc6bba4b9d9d8b238236,21973430,"2,872.94",0.0039730%,0.0043689%,NA,359.6713525,,EOA
0x7f4570bd5cd4ff76718719a5ac02c033ba432239,51580269,"2,868.21",0.0039664%,0.0043617%,NA,359.0784961,,EOA
0x26e3ff43b7dc911a752f2e44378516ae575dd4c9,84591340,"2,852.30",0.0039444%,0.0043376%,NA,357.0868973,,EOA
0x6d4ed8a1599dee2655d51b245f786293e03d58f7,78478424,"2,851.72",0.0039436%,0.0043367%,NA,357.0150734,,EOA
0x5ce676b01adf27de6b7637b6dee71f01a109a198,77133043,"2,844.23",0.0039333%,0.0043253%,NA,356.0767547,,EOA
0xf5b15c4649479e6811513a5c5ebbbddf3b108fb2,91516627,"2,831.26",0.0039153%,0.0043056%,NA,354.4528418,,EOA
0x3c61a6857adb1f4ba6a0155b990bf7a7fa530390,93631864,"2,815.92",0.0038941%,0.0042822%,NA,352.5321748,,EOA
0xb967058350d81a6904472d2fc8a359f7d76a755a,92553958,"2,808.54",0.0038839%,0.0042710%,NA,351.6082222,,EOA
0x5e42df062159344da795b26ec5e10851b0208863,88094147,"2,800.05",0.0038722%,0.0042581%,NA,350.5459499,,EOA
0x282ea59e790f6346a92c68011c3c517b764fc02e,46073482,"2,798.49",0.0038700%,0.0042557%,NA,350.3509356,,EOA
0xc1c79c6378e5a72895c8ea15fc6dd59ffddc8dee,98049864,"2,797.50",0.0038687%,0.0042542%,NA,350.2264223,,EOA
0x4d6afe95850212a15ff41038c3d836a81a11cd10,78339095,"2,793.21",0.0038627%,0.0042477%,NA,349.6897086,,EOA
0xf73f2d2b55c499ab3e85ad0633433969a8745b96,35836972,"2,791.21",0.0038600%,0.0042447%,NA,349.4390363,,EOA
0x0db56c99b8ad68f35f4b1772a4ffed3fb16204f6,46141043,"2,790.20",0.0038586%,0.0042431%,NA,349.3129841,,EOA
0x91f33fdd813a86f70c0ce4b3d90e1a00f1d4c63c,35167520,"2,789.52",0.0038576%,0.0042421%,NA,349.2278661,,EOA
0xd53a92ce35ee4bd1cc54966eec499b0018b408c3,81237732,"2,786.75",0.0038538%,0.0042379%,NA,348.8809380,,EOA
0x432dcbda06e8b296ca29705572d7cb6315ed8bed,77440603,"2,780.52",0.0038452%,0.0042284%,NA,348.1007370,,EOA
0x954c8952cfb768617141a2cbeb2b23faaf7b89cf,91005343,"2,779.14",0.0038433%,0.0042263%,NA,347.9285917,,EOA
0x26a41424bf8285413f499cbc59afabbc0141d534,86217883,"2,777.53",0.0038410%,0.0042238%,NA,347.7263218,,EOA
0x59985b6660c40a0d6fef4a0ca4c2efacd3ade0ac,38095858,"2,765.69",0.0038247%,0.0042058%,NA,346.2440136,,EOA
0x4c28b7a52cf9b44b7f775a0660fb09c41694ee7b,88313920,"2,749.38",0.0038021%,0.0041810%,NA,344.2018477,,EOA
0x8f346221bc7de074e01a91a56dfba2a88db5a524,86014950,"2,732.56",0.0037788%,0.0041555%,NA,342.0962693,,EOA
0x375a9574078e20b442a281224b503ae960785d9c,95050252,"2,726.76",0.0037708%,0.0041466%,NA,341.3706131,,EOA
0x3c0cdba6547d1d3f36f9b8ee47809b4b0790ec9e,84933942,"2,722.14",0.0037644%,0.0041396%,NA,340.7923517,,EOA
0xfd75b173c860c1478c3ff39453a0c72fedce6c81,84662088,"2,709.83",0.0037474%,0.0041209%,NA,339.2515388,,EOA
0x93c20947353996eb928af059c07546814a7f88c6,80561275,"2,687.11",0.0037160%,0.0040863%,NA,336.4063685,,EOA
0xa7c6d9668d8b0f4483835479a0c00b13084daac2,77990322,"2,686.19",0.0037147%,0.0040849%,NA,336.2910730,,EOA
0x39b185fcf2b7eff74cfd2a48be043f5b55c44bdc,82910868,"2,678.58",0.0037042%,0.0040734%,NA,335.3388151,,EOA
0x4d26f0e78c154f8fda7acf6646246fa135507017,94151748,"2,670.00",0.0036923%,0.0040603%,NA,334.2645420,,EOA
0x57bf3b0f29e37619623994071c9e12091919675c,77306792,"2,667.68",0.0036891%,0.0040568%,NA,333.9742498,,EOA
0x79277c435c41e9dcb99d54c4b9c4c78cc2b5c15a,91358085,"2,660.94",0.0036798%,0.0040465%,NA,333.1297437,,EOA
0x0668fe058aee08633e00469cfab22c5efa58c3f2,77869160,"2,641.17",0.0036525%,0.0040165%,NA,330.6549469,,EOA
0x483cd981361eb7ddebeb249e8faebe22ad638c6b,82181485,"2,638.35",0.0036486%,0.0040122%,NA,330.3020775,,EOA
0x15b3392708755a9f7aac3b33b401d7efa3d52f38,46853814,"2,633.33",0.0036416%,0.0040046%,NA,329.6734280,,EOA
0x8ada3d85342c3d17c768992a56d39aa733b5b38c,95904589,"2,606.62",0.0036047%,0.0039639%,NA,326.3298981,,EOA
0x50db7efacf9c48ca1da8c1250505f3c0d5f34515,51801249,"2,602.10",0.0035984%,0.0039571%,NA,325.7635133,,EOA
0x216dd8ac9574c8891cbfa83808e1cdfe6cc61c2e,54241092,"2,595.99",0.0035900%,0.0039478%,NA,324.9993228,,EOA
0xe7b4d4b35a0f2045c6e77bfdd94b99fb0be961b0,85866382,"2,590.92",0.0035830%,0.0039401%,NA,324.3640787,,EOA
0x912b37e4ad159882f60de59b27882c5daf3d7e5b,35928281,"2,575.65",0.0035619%,0.0039168%,NA,322.4524753,,EOA
0x136200e3728ffdc1688e9df19f0b6878422c0fbf,87019309,"2,566.23",0.0035488%,0.0039025%,NA,321.2731108,,EOA
0x2f10ff6ab2e9af48d28d6ff505296abd680951c3,96614302,"2,551.83",0.0035289%,0.0038806%,NA,319.4703510,,EOA
0x4f918c5888d57505e32bd4e3046e4bbd4f44c708,83175174,"2,537.90",0.0035097%,0.0038594%,NA,317.7266137,,EOA
0xf7b18e107eb36797f4ce36de756630b9c30969ad,77607758,"2,532.80",0.0035026%,0.0038517%,NA,317.0877496,,EOA
0x78d6d4c7adaeaafb0e3ad642012cb1cc49ad18e0,84831364,"2,524.88",0.0034917%,0.0038396%,NA,316.0970804,,EOA
0x429158359acc2662f60b582e851b51479cfa11e1,87410236,"2,505.50",0.0034648%,0.0038102%,NA,313.6697295,,EOA
0x160a246f571c42eb55a947e620335b83bbe27473,80763371,"2,500.00",0.0034572%,0.0038018%,NA,312.9817809,,EOA
0x717f4308208827bc51982df8f8fb28e49cd6d540,84836627,"2,500.00",0.0034572%,0.0038018%,NA,312.9817809,,EOA
0x93d87d3488b2774dba828a53af99b083587bcedf,54418149,"2,500.00",0.0034572%,0.0038018%,NA,312.9817809,,EOA
0xb82adf9206ffa17b5be784d94a8ac76606691c56,33877909,"2,497.12",0.0034533%,0.0037974%,NA,312.6210968,,EOA
0x6b4da860944bc7c32c1cbca0552bf03d95c02e81,25935505,"2,482.83",0.0034335%,0.0037757%,NA,310.8318675,,EOA
0x40ff919912ad1e571de709a147aa124ae7017fdd,47053538,"2,458.34",0.0033996%,0.0037384%,NA,307.7660302,,EOA
0xfd5b28aa06947b870f158e21c97fe42e262391d0,88752072,"2,450.13",0.0033883%,0.0037260%,NA,306.7390257,,EOA
0x05efc12df01a04a1e92d817d4bf5447178cb5f2f,30049394,"2,443.49",0.0033791%,0.0037159%,NA,305.9071419,,EOA
0xf5967500b53452c7c594eb78ae45de671bd55d0f,82481180,"2,403.98",0.0033245%,0.0036558%,NA,300.9612687,,EOA
0x4fa2eb2a8ef0dd308d03ff0fb5aab60dc2fa48fb,99171349,"2,390.10",0.0033053%,0.0036347%,NA,299.2232481,,EOA
0x52c635f0c85f2b40f8206a5afca7ec7091b945b9,84865805,"2,355.76",0.0032578%,0.0035825%,NA,294.9245049,,EOA
0x272aa3401c119726672b2ae08d1599956afa7b63,87947016,"2,351.86",0.0032524%,0.0035765%,NA,294.4355943,,EOA
0x53f1dc04587af2f5f36e0d4b49c9ab547804c479,96904197,"2,344.18",0.0032418%,0.0035648%,NA,293.4737787,,EOA
0xd85a3ebca84eca2f27c8f273aa6d33292b992e9a,43861706,"2,341.08",0.0032375%,0.0035601%,NA,293.0856155,,EOA
0x2fd5bab60d79951e12074a390147c00a361c43ab,75695465,"2,335.85",0.0032302%,0.0035522%,NA,292.4315327,,EOA
0x9f124b8892aafda2eb3008a7442d1653ee0b39c2,101865163,"2,335.50",0.0032298%,0.0035516%,NA,292.3874288,,EOA
0xbcf8c5f6ed6c679e6a5a858f807f0c15535fb16d,79091797,"2,328.12",0.0032196%,0.0035404%,NA,291.4636290,,EOA
0xa4444cec5450dd48adf8f82ea91eef32733e0324,49105622,"2,323.82",0.0032136%,0.0035339%,NA,290.9253544,,EOA
0x1b347bbf54af05b5252b3f7e600fa7b00c18038c,91554852,"2,316.41",0.0032034%,0.0035226%,NA,289.9981579,,EOA
0x255023cf86b6a0c3371dd7d26fe8060a7d67c8d0,83377239,"2,300.00",0.0031807%,0.0034977%,NA,287.9432385,,EOA
0xa5f69f96d35cfd21f57859935b58d8804e582ff7,38084811,"2,300.00",0.0031807%,0.0034977%,NA,287.9432385,,EOA
0x1b3e6f7c64c59729ff23d27857c44044627ec82e,81424850,"2,287.37",0.0031632%,0.0034784%,NA,286.3615226,,EOA
0xae5499976ffd3e58be47bdd51c787a5201d957f4,108091293,"2,277.26",0.0031492%,0.0034631%,NA,285.0960610,,EOA
0xc61b244fa2b83efe9ef91da7390ca5fc1cbb35b1,84781940,"2,269.40",0.0031384%,0.0034511%,NA,284.1126889,,EOA
0x4f35b7aa963f5b0bb2a5a65aece060a740b6ae4b,24891579,"2,256.27",0.0031202%,0.0034312%,NA,282.4690458,,EOA
0xe56446c8ffe73cc9781dc35bce64c9bcbea3373d,100639285,"2,247.48",0.0031080%,0.0034178%,NA,281.3682994,,EOA
0xc555347d2b369b074be94fe6f7ae9ab43966b884,86739534,"2,245.67",0.0031055%,0.0034150%,NA,281.1412349,,EOA
0x6d8e8da575f803deec0288aa99b645662b0591f4,82164240,"2,245.30",0.0031050%,0.0034145%,NA,281.0947019,,EOA
0x2112675175dd1bdc5b52d5e5299ce2070a3ef90a,102353266,"2,237.31",0.0030940%,0.0034023%,NA,280.0943522,,EOA
0xbdee104f077fc445b066c2378559d801fac58a0f,52754143,"2,229.54",0.0030832%,0.0033905%,NA,279.1223736,,EOA
0x23f3e6f1e807d193b6dbacabb08f3453e3a52a6d,91125383,"2,227.86",0.0030809%,0.0033880%,NA,278.9119522,,EOA
0x3c6dfb5d608c4849d289d81d8bfccbd48d86d0a8,88481460,"2,213.63",0.0030612%,0.0033663%,NA,277.1300019,,EOA
0x5d1132bfc763574145ec0eaa2d6152681e2fc845,31494545,"2,203.20",0.0030468%,0.0033505%,NA,275.8250703,,EOA
0x5929cc4d10b6a1acc5bf5d221889f10251c628a1,98276343,"2,201.67",0.0030447%,0.0033481%,NA,275.6336300,,EOA
0xd2c0884ae6950bf8cac1b91eb181449a087f58e1,98212237,"2,190.88",0.0030298%,0.0033317%,NA,274.2820961,,EOA
0x3d484db8bb7cc371b70f2f9472bda9faf414d39a,53422896,"2,177.09",0.0030107%,0.0033108%,NA,272.5560770,,EOA
0x9b45fd2c90b72f97d3ab3d015c2a4181d5e32d96,77080598,"2,174.39",0.0030070%,0.0033066%,NA,272.2176922,,EOA
0x90911bbf405c4e131a4d7475aa8e991f925e0185,94683745,"2,172.25",0.0030040%,0.0033034%,NA,271.9503283,,EOA
0x9224bbb4e0fbe2f2f8fab55debc41eb21fdfb804,106213494,"2,168.29",0.0029985%,0.0032974%,NA,271.4541544,,EOA
0xe1f987cb66d8f0da79cb0fe245500200bbfba51e,107105362,"2,166.82",0.0029965%,0.0032951%,NA,271.2698026,,EOA
0xf088b678310ba27a552cc64ff95126f485522a5f,66270824,"2,158.36",0.0029848%,0.0032823%,NA,270.2107839,,EOA
0x8fc4faa9dd274dc801ca629234e83183031634ec,99116770,"2,151.42",0.0029752%,0.0032717%,NA,269.3421338,,EOA
0xce56d6b89aba96c43e8fbf02c3bf34a751952c19,38817777,"2,146.70",0.0029687%,0.0032645%,NA,268.7511831,,EOA
0xc13aa1d5fa211d04b7dd87ae2f780151d47022cd,85002647,"2,141.70",0.0029617%,0.0032569%,NA,268.1247801,,EOA
0x59fb62bc94ef3592949898c948c199abc3990ac6,62362326,"2,130.93",0.0029469%,0.0032406%,NA,266.7772344,,EOA
0x43aa3766c89437b017406f4ded420a8d72e1f5e5,68474595,"2,112.03",0.0029207%,0.0032118%,NA,264.4113469,,EOA
0x4003966c905e0239f71475f637f56d18c220d3b8,64426621,"2,110.18",0.0029182%,0.0032090%,NA,264.1786126,,EOA
0x64982baddae961858c1f1a1e48aef31deab66275,68359976,"2,103.59",0.0029091%,0.0031990%,NA,263.3541384,,EOA
0x4186c746d04cb987b795822d50ba6713851d1d2d,33094622,"2,096.24",0.0028989%,0.0031878%,NA,262.4333619,,EOA
0xfb737e8e3d9fa74d7e844bbe5860e7fbce11a987,82128385,"2,093.37",0.0028949%,0.0031834%,NA,262.0745887,,EOA
0x3499604cf488845d9c6d327c7af2c93ba770b3c0,82847484,"2,090.30",0.0028907%,0.0031788%,NA,261.6906862,,EOA
0xfd6d3dac0e787a8ab01f5ab5f4a1c877790f27af,84561343,"2,070.14",0.0028628%,0.0031481%,NA,259.1658319,,EOA
0xc4d14953c039221e795e90b51e802c05d5e88e12,82458706,"2,060.42",0.0028494%,0.0031333%,NA,257.9498714,,EOA
0xc4a7c403d012085e963d18c6229dc1d2d6d6baca,89589036,"2,049.43",0.0028342%,0.0031166%,NA,256.5740128,,EOA
0x947952c7742e9fec4c3fd9900f1844aea505a085,49117481,"2,048.88",0.0028334%,0.0031158%,NA,256.5050604,,EOA
0x5b1a102a8f82fd2c1231fca763a7170920f7a7e3,86702777,"2,041.38",0.0028230%,0.0031044%,NA,255.5664977,,EOA
0x5b4ec638a242f5ea51f27c1dbf1898808d1bc9ea,85253907,"2,036.60",0.0028164%,0.0030971%,NA,254.9677122,,EOA
0x4f74278c7a62898cd198e2441c436c72554fad81,80736764,"2,030.44",0.0028079%,0.0030877%,NA,254.1966781,,EOA
0x4d3869e2451d28bb4f03aeda60322eaf01e912db,106496306,"2,026.56",0.0028025%,0.0030818%,NA,253.7110574,,EOA
0x1d90fc8612389b2eada739bbba12865b18516227,76880143,"2,018.33",0.0027911%,0.0030693%,NA,252.6803257,,EOA
0xd19f070d33e2583ea7e24a2b496bd9dee38bcf58,86634726,"2,013.04",0.0027838%,0.0030613%,NA,252.0182686,,EOA
0x99daaf637e697c53afaa67d6ff27e336db925812,91906273,"2,010.26",0.0027800%,0.0030570%,NA,251.6697070,,EOA
0x688b5c7b549339922c0d2243debe2fe921a1a488,80534356,"2,010.00",0.0027796%,0.0030567%,NA,251.6373519,,EOA
