Total QI locked,"72,311,886",,,,,,,
"QI locked, not counting liquid lockers","65,758,243",,,,,,,
QI locked by liquid lockers,"6,553,642",,,,,,,
Total QI to be distributed (80%),"57,849,509",,,,,,,
Total BPT tokens for aveQI migration,"9,052,921",,,,,,,
Share of BPTs distributed to non-liquid lockers,90.94%,,,,,,,
Share of BPTs distributed to liquid lockers,9.06%,,,,,,,
Total BPT tokens distributed to non-liquid lockers,"8,232,453",,,,,,,
Total BPT tokens distributed to liquid lockers,"820,468",,,,,,,
,,,,,,,,
address,polygon endblock,amount,share of total BPTs,share of non-liquid locker BPTs,share of liquid locker BPTs,amount of non-liquid locker distribution,amount of liquid locker distribution,type
0x4afb5daf1f6016ede27ebb838c45a759e0a4e4c4,84796687,"93,089.28",0.1287330%,0.1415629%,NA,"11,654.0993739",,EOA
0xf826bc629d859af67736671274bfbf0967e36729,106042288,"90,195.53",0.1247313%,0.1371623%,NA,"11,291.8232976",,EOA
0x8252d3c70f532bcb6a27001f3abb460ed7ebb066,79869708,"90,000.00",0.1244609%,0.1368650%,NA,"11,267.3441137",,EOA
0x7c9edc93ec8b80b7dd1e548a476c6dcf676549be,81712448,"88,812.72",0.1228190%,0.1350595%,NA,"11,118.7056628",,EOA
0xc92980d19e7399911f595053894408ad24380324,84213621,"81,128.57",0.1121926%,0.1233740%,NA,"10,156.7051129",,EOA
0xaa4279b9364c541ffe47e53f1a8c8bdb7a78ec11,66430548,"80,564.12",0.1114120%,0.1225156%,NA,"10,086.0412696",,EOA
0x88dcF2D87b1dc0f36435D57E9e589c19cA89b1ae,80724191,"78,420.81",0.1084480%,0.1192562%,NA,"9,817.7140351",,EOA
0x53d72e45e4ba76838d36c49b88f046c6070c39e5,93562222,"77,506.12",0.1071831%,0.1178653%,NA,"9,703.2016007",,EOA
0x11cC283d06FA762061df2B0D2f0787651ceef659,84870540,"76,100.00",0.1052386%,0.1157269%,NA,"9,527.1654117",,Contract
0x99655ca16c742b46a4a05afaf0f7798c336fd279,86110183,"72,517.17",0.1002839%,0.1102784%,NA,"9,078.6210249",,EOA
0x4656e28ed7c4aacd1e7fb98d3c8041d6de04c08f,83547797,"69,597.86",0.0962468%,0.1058390%,NA,"8,713.1454838",,EOA
0xef114d9316274acff9c9ea00871af274b8994234,98317201,"65,901.55",0.0911352%,0.1002179%,NA,"8,250.3933760",,EOA
0x780038507f662cc76646ceb7796c643efc393e98,83227832,"62,000.00",0.0857397%,0.0942848%,NA,"7,761.9481672",,EOA
0x4127143a866bf5d8ad2afb6de8e63164b8ad5bf6,91373754,"60,711.62",0.0839580%,0.0923255%,NA,"7,600.6527908",,EOA
0x7181c3302c07533639bbd81c4c490450c2668c3b,85380368,"57,630.94",0.0796977%,0.0876406%,NA,"7,214.9731832",,EOA
0x9c0d72f2ac26420cb7eeb155bf401b672840e87b,84411043,"55,996.82",0.0774379%,0.0851556%,NA,"7,010.3935773",,EOA
0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,93256030,"54,442.04",0.0752878%,0.0827912%,NA,"6,815.7471446",,EOA
0x1b3f7964929dae299f194d46b7386b0df8f10db3,91901526,"53,963.53",0.0746261%,0.0820635%,NA,"6,755.8408432",,EOA
0xe84adc0964ee34ce0319df3418636ed6a4117b97,92569253,"52,364.72",0.0724151%,0.0796322%,NA,"6,555.6816744",,EOA
0xc06057acf5c722e961184d3eb751d93bada7d72c,48527864,"52,109.37",0.0720620%,0.0792439%,NA,"6,523.7134957",,EOA
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,87855288,"51,521.81",0.0712494%,0.0783503%,NA,"6,450.1553119",,EOA
0x4bed23c363f51c4ff842eb0c1cded2010e4491a5,78211290,"50,000.00",0.0691449%,0.0760361%,NA,"6,259.6356187",,EOA
0xf0b2908c638bc18f018933928d079f930a3c976d,32523108,"48,130.68",0.0665598%,0.0731934%,NA,"6,025.6098338",,EOA
0x3b3540c429e6cec4f63d161ad2788a7d4a9a7b2b,83298292,"44,116.53",0.0610087%,0.0670890%,NA,"5,523.0684925",,EOA
0x231e6b09a4249c9dde585d1d664bb95adc3fc6ae,85667367,"43,608.81",0.0603066%,0.0663169%,NA,"5,459.5051989",,EOA
0x030f249879c79331b7a154c48e27eedcd972bde9,85435997,"43,000.00",0.0594646%,0.0653910%,NA,"5,383.2866321",,EOA
0x628476231e3a1b1277d7e07c84a6e997ba23a3a7,101986027,"42,342.50",0.0585554%,0.0643912%,NA,"5,300.9730188",,EOA
0xe2faa5db450b621d27518c8f7d4b95fdf8690116,82401986,"40,932.26",0.0566052%,0.0622466%,NA,"5,124.4208875",,EOA
0x03a1a0ee0e2a14bd069c8691a4adeabfa6a4d709,84200828,"40,365.55",0.0558215%,0.0613848%,NA,"5,053.4727955",,EOA
0x5976340ae917c94f1b27a1c2e7b8c100067815e5,48110363,"40,098.92",0.0554527%,0.0609793%,NA,"5,020.0924638",,EOA
0xd2ce2670a6428c9ba41c2878a498a2a8c0c1748c,52501856,"40,000.25",0.0553163%,0.0608293%,NA,"5,007.7396101",,EOA
0x843988f65c0004b1e7de4f1fd1d255b0fe4a883e,85349643,"38,641.38",0.0534371%,0.0587628%,NA,"4,837.6188025",,EOA
0x226e9da4b9c4dcbda571b5a01646c55ae0b5a52a,49658529,"38,508.27",0.0532530%,0.0585604%,NA,"4,820.9545404",,EOA
0x2fa01ba633c555f5b9452227153e5619c92316dd,92011877,"38,063.33",0.0526377%,0.0578837%,NA,"4,765.2518120",,EOA
0x686d78620aa846b1bdb29dedaf94e2ab47208a04,47068084,"37,905.59",0.0524196%,0.0576439%,NA,"4,745.5040718",,EOA
0x0dc3b66a3a6b9415c8041e4b77b7dfd041a9c30c,87290509,"37,509.98",0.0518725%,0.0570422%,NA,"4,695.9756896",,EOA
0xe51a5ee79c1fc3907c3657b2243a427c40f70ad7,52346165,"36,974.22",0.0511316%,0.0562275%,NA,"4,628.9031167",,EOA
0xb11e239910eaafa78fa925e566c20bc611fd4995,51436973,"36,800.83",0.0508918%,0.0559638%,NA,"4,607.1963250",,EOA
0x7b70efc4bca9cc0733c1b615cf480e33f19119f2,88547514,"35,328.11",0.0488552%,0.0537242%,NA,"4,422.8213509",,EOA
0x441c6DF564072EDD4D3d543C6cFCFB0A0EE95F7c,82949799,"35,000.97",0.0484028%,0.0532267%,NA,"4,381.8660954",,EOA
0x954cb370d4b53fa2948e90a202cc213d5b803cad,78532650,"34,956.16",0.0483408%,0.0531586%,NA,"4,376.2558892",,EOA
0x61fdff48d154c6079e43cbf14027057b367cb3b2,102101213,"34,288.99",0.0474182%,0.0521440%,NA,"4,292.7320565",,EOA
0x2526a6efeef588bdfb0d572d8c373dd71ef4e4f4,50516459,"33,643.44",0.0465255%,0.0511623%,NA,"4,211.9138887",,EOA
0x78ad91e6f47e7697d4b8addd73fba6a7f23a7f5b,46460922,"33,365.21",0.0461407%,0.0507392%,NA,"4,177.0810875",,EOA
0xfc0b58ab1af097c7c6ca45abb24a08108c438550,78247662,"32,806.71",0.0453683%,0.0498899%,NA,"4,107.1605388",,EOA
0xfae772e7498b0cdfc4ea929da72333dcc0dd2517,97110889,"32,720.99",0.0452498%,0.0497595%,NA,"4,096.4296787",,EOA
0xb96cacfc32aadb1c50fe4006cad32dda5f1016b9,80589308,"32,596.25",0.0450773%,0.0495698%,NA,"4,080.8132848",,EOA
0xc0893fa01108f50fa2a04e2ccee815376ec56233,94075612,"31,002.72",0.0428736%,0.0471465%,NA,"3,881.3149091",,EOA
0xe157fa0435b04e3e7fb5bb1878e55fb569f30fc8,80003998,"30,089.22",0.0416103%,0.0457573%,NA,"3,766.9516906",,EOA
0xac1b80e06f970879bfb8f2b92b59442593f332b6,83619225,"29,718.34",0.0410974%,0.0451933%,NA,"3,720.5195288",,EOA
0xa3a62293bdec8d723cd512274ddf6792bbf0dbac,54674541,"29,298.07",0.0405163%,0.0445542%,NA,"3,667.9052882",,EOA
0x4b45de182c358d0a8f0819a2cf74487a8ea4b72c,87518098,"28,943.72",0.0400262%,0.0440153%,NA,"3,623.5422956",,EOA
