address,seconds until unlock,amount,share of total,type
0x36b13e73b6cdb2dc53b29d3e02066d3bc2016285,35460266,247559.4319,0.003764690469,EOA
0xa47dc3c86a77a41b9377fc5f6f6edd1d8f380f41,86107614,242752,0.0036915828,EOA
0x5b181e9e67c4f09f5d0229a458db6b0c07f6184e,85697232,214036.5309,0.003254900376,EOA
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298670,200000,0.003041443778,EOA
0x8a3a27f7ed3594d7c1261e0d16112333d76b3a57,48412906,188888,0.002872461162,EOA
0x77c4a515d6779f358d9c70b78c18715ee352cadc,73737746,180000,0.0027372994,EOA
0x7da8e2a56901552a1affc74063569e533c6a77dc,97562640,172304.7898,0.002620276654,EOA
0xb2dd7f7a0c94364067ade38ab28ad18d124bb329,80759069,162643.7762,0.002473359506,EOA
0x94a468fcb53a043bf5cd95ef21892e02c71134be,99416972,162100.1459,0.0024650924,EOA
0x680963fe5e628c5486C3A282ca12Aa575820e446,100299023,159705.5034,0.002428676548,EOA
0xefc194772a4bdbcdc5871a56e5a86dcfec845788,85437026,147537.7873,0.002243639426,EOA
0xa054934e49470cdbfc6b4d886b990bcb2002a9b6,88368556,144948.0931,0.00220425738,EOA
0xce5969ab83f70f32d477df7b92cc17fb19f25228,83086719,137843.9651,0.00209622335,EOA
0x1d7d6598c766485dc89746fd9bda82c21df128a9,90553123,131746.5378,0.002003498438,EOA
0x49e7bdde0e6f366fcc15577ee273af1dd0a578ba,51385552,122042.6439,0.0018559292,EOA
0x9cd25036e52f831115c77dcf0e6db69fca56bb04,56414697,120641.6078,0.001834623337,EOA
0x670647441d9c24d981923c9293a2e4eae6d0c8b3,77603940,120000,0.001824866267,EOA
0x920fa53A88fA26d2658049794a84abc6185e6c69,77732674,119977.161,0.001824518949,EOA
0xe0a46db77fe3932a901214bfa0a1389d3e996332,108396365,119495.0995,0.001817188135,EOA
0xc17e91dd86b427135f2694ed6a8bc86ee9d37c06,106172244,116130.7851,0.001766026269,EOA
0x8dcb8aae4aa1143531949cb7877235749d32804a,51501247,116102.6539,0.001765598471,EOA
0xde8aa7c820d767572837f5e43f385e98978233a4,83087251,115869.8423,0.001762058054,EOA
0xed3b439ca1787c1cd1855151c799d520d319d80d,66039168,111900,0.001701687794,EOA
0xed8e4430689fe60bdc8a757dcf09bf12f9aff013,77565971,110260.4995,0.001676755551,EOA
0xd87ecc7533273877fc5b945453f9dfd32cb95509,86633597,110128.7379,0.001674751824,EOA
0xf39bc4acfbcee9c9de828416b5f060fe9f5d34f0,67670541,107730.8023,0.001638285892,EOA
0x680963fe5e628c5486C3A282ca12Aa575820e446,100298643,100423.9228,0.001527168577,EOA
0x284f36888fa58a0a36b132331a26f44f86487afd,87990451,100000,0.001520721889,EOA
0xa580a81c881869cc4763968754683f764754902a,60950258,100000,0.001520721889,EOA
0x6320d43fe9939efad4d48bfcdc63c06bafc2fe3d,40433828,99069,0.001506563968,EOA
