address,seconds until unlock,distribution amount (BPTs)
0xaa4279b9364c541ffe47e53f1a8c8bdb7a78ec11,66430548,"10,086.041328563800000000"
0x88dcF2D87b1dc0f36435D57E9e589c19cA89b1ae,80724191,"9,817.714092476170000000"
0x53d72e45e4ba76838d36c49b88f046c6070c39e5,93562222,"9,703.201657351510000000"
0x11cC283d06FA762061df2B0D2f0787651ceef659,84870540,"9,527.165467397610000000"
0x99655ca16c742b46a4a05afaf0f7798c336fd279,86110183,"9,078.621077945350000000"
0x4656e28ed7c4aacd1e7fb98d3c8041d6de04c08f,83547797,"8,713.145534739000000000"
0xef114d9316274acff9c9ea00871af274b8994234,98317201,"8,250.393424180100000000"
0x780038507f662cc76646ceb7796c643efc393e98,83227832,"7,761.948212597260000000"
0x4127143a866bf5d8ad2afb6de8e63164b8ad5bf6,91373754,"7,600.652835192950000000"
0x7181c3302c07533639bbd81c4c490450c2668c3b,85380368,"7,214.973225326830000000"
0x9c0d72f2ac26420cb7eeb155bf401b672840e87b,84411043,"7,010.393618275300000000"
0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,93256030,"6,815.747184460970000000"
0x1b3f7964929dae299f194d46b7386b0df8f10db3,91901526,"6,755.840882671060000000"
0xe84adc0964ee34ce0319df3418636ed6a4117b97,92569253,"6,555.681712695260000000"
0xc06057acf5c722e961184d3eb751d93bada7d72c,48527864,"6,523.713533837900000000"
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,87855288,"6,450.155349607790000000"
0x4bed23c363f51c4ff842eb0c1cded2010e4491a5,78211290,"6,259.635655320370000000"
0xf0b2908c638bc18f018933928d079f930a3c976d,32523108,"6,025.609869053510000000"
0x3b3540c429e6cec4f63d161ad2788a7d4a9a7b2b,83298292,"5,523.068524750640000000"
0x231e6b09a4249c9dde585d1d664bb95adc3fc6ae,85667367,"5,459.505230756660000000"
0x030f249879c79331b7a154c48e27eedcd972bde9,85435997,"5,383.286663575520000000"
0x628476231e3a1b1277d7e07c84a6e997ba23a3a7,101986027,"5,300.973049741040000000"
0xe2faa5db450b621d27518c8f7d4b95fdf8690116,82401986,"5,124.420917447090000000"
0x03a1a0ee0e2a14bd069c8691a4adeabfa6a4d709,84200828,"5,053.472825051640000000"
0x5976340ae917c94f1b27a1c2e7b8c100067815e5,48110363,"5,020.092493083960000000"
0xd2ce2670a6428c9ba41c2878a498a2a8c0c1748c,52501856,"5,007.739639383060000000"
0x843988f65c0004b1e7de4f1fd1d255b0fe4a883e,85349643,"4,837.618830771400000000"
0x226e9da4b9c4dcbda571b5a01646c55ae0b5a52a,49658529,"4,820.954568581290000000"
0x2fa01ba633c555f5b9452227153e5619c92316dd,92011877,"4,765.251839803720000000"
0x686d78620aa846b1bdb29dedaf94e2ab47208a04,47068084,"4,745.504099533170000000"
0x0dc3b66a3a6b9415c8041e4b77b7dfd041a9c30c,87290509,"4,695.975716994710000000"
0xe51a5ee79c1fc3907c3657b2243a427c40f70ad7,52346165,"4,628.903143721640000000"
0xb11e239910eaafa78fa925e566c20bc611fd4995,51436973,"4,607.196351966020000000"
0x7b70efc4bca9cc0733c1b615cf480e33f19119f2,88547514,"4,422.821376786120000000"
0x4d176e962af582217eeef44d3c5a2aa950e4d3b3,82949799,"4,381.866121032910000000"
0x954cb370d4b53fa2948e90a202cc213d5b803cad,78532650,"4,376.255914739940000000"
0x61fdff48d154c6079e43cbf14027057b367cb3b2,102101213,"4,292.732081627650000000"
0x2526a6efeef588bdfb0d572d8c373dd71ef4e4f4,50516459,"4,211.913913331610000000"
0x78ad91e6f47e7697d4b8addd73fba6a7f23a7f5b,46460922,"4,177.081111938140000000"
0xfc0b58ab1af097c7c6ca45abb24a08108c438550,78247662,"4,107.160562808020000000"
0xfae772e7498b0cdfc4ea929da72333dcc0dd2517,97110889,"4,096.429702605500000000"
0xb96cacfc32aadb1c50fe4006cad32dda5f1016b9,80589308,"4,080.813308636410000000"
0xc0893fa01108f50fa2a04e2ccee815376ec56233,94075612,"3,881.314931813290000000"
0xe157fa0435b04e3e7fb5bb1878e55fb569f30fc8,80003998,"3,766.951712595750000000"
0xac1b80e06f970879bfb8f2b92b59442593f332b6,83619225,"3,720.519550565130000000"
0xa3a62293bdec8d723cd512274ddf6792bbf0dbac,54674541,"3,667.905309645550000000"
0x4b45de182c358d0a8f0819a2cf74487a8ea4b72c,87518098,"3,623.542316733700000000"
0x73f13990070d5dd94c8e4ea9562f2d617d0487d7,80825852,"3,596.253358835520000000"
0x0e54edd4cf6568de41fc67eaa71aeb52885999c7,81898361,"3,584.886649218060000000"
0x389ec0bd4179dc95ede96716bc63cd4bb7c49377,86387871,"3,558.481054841510000000"
0xb063608c9eb40c21beabe18b214714e0a8f28ced,47523331,"3,503.435929215810000000"
0x00e839bc0c9a130afe30974914c4b0100756cff4,83771455,"3,493.769466618790000000"
0x3280e3da7aebc769cf788de7ef8a192365532f9b,52555497,"3,467.460531848830000000"
0x0b128f624078f9e7a1dcd58a275b445f57f20df8,83485603,"3,439.180884362460000000"
0x1714c8b220bf40e1bedcf3f7713132b6d42e7bd1,29387905,"3,415.799682092090000000"
0x98ede5a956f7dd2d540a7872e5b7b9471bda20a3,82359215,"3,404.322117191260000000"
0x3d1df542e606c2981b6acae463afaed9d9ef1129,85050676,"3,401.675834092440000000"
0x943799a3d65c2f6e88c849a4a10a14eb39b007bf,82283482,"3,381.829327866560000000"
0xb8b5678fb2ed1df5f8e04dd418d255796b97e6c1,108198068,"3,373.386341983460000000"
0x1b72bac3772050fdcaf468cce7e20deb3cb02d89,87272747,"3,356.057978151940000000"
0x259380175dbd94dfafe6640526348ffd305de8bf,86446896,"3,328.799012064740000000"
0x8bcf10d5bd8a0ff835221dd2a9c794b435c52813,84585273,"3,277.011030557030000000"
0xb1028c2d61337589e515d6bdb949ed97935518b2,96362511,"3,249.520283833650000000"
0x60fba3b1d069e1317d2b4b718739e280fbad9896,108476989,"3,129.817827661240000000"
0x3d7849a51a2da3b3b455ca6a6d604c902f82e7c2,33338155,"3,092.221699857000000000"
0x073aba73177668ba1c6661a4ccddbf77dfc8809a,85191939,"3,012.416616626960000000"
0x0621e9d8f6ac96098cdf413289c5e11b9130309a,23683689,"2,980.122580003880000000"
0x3fa05ef7652ad855facbec056a5889a64e366e2d,49980379,"2,967.067300621860000000"
0x3a1bbd14c1c0e2ebf7cd906961d122dadd5448a7,81872081,"2,889.872225660810000000"
0x926253f534ff911348c5271b7c380884cab648ad,84868562,"2,882.455786191640000000"
0x78e87757861185ec5e8c0ef6bf0c69fa7832df6c,108087937,"2,829.872144034620000000"
0x0933f554312c7bcb86df896c46a44ac2381383d1,85909721,"2,781.967648823610000000"
0x369606edde71fb6ec43353330796544852bad340,91719368,"2,754.239688340960000000"
0xbc2a0913b30283c2c680cfc332c8d85399228e23,85948226,"2,734.440044699790000000"
0x5a577dd5a90be0feba8b596e2509289df8cbaff7,82921410,"2,683.935837357160000000"
0x8615ecb2b27bfde5e48536e25340379e60c04cda,96309341,"2,654.569545020550000000"
0x3b775b6fb97e1229b82709eefd25b0d33831a738,62105915,"2,629.603746183300000000"
0x9c57027b1eca93093a6f446422c59c85a5a3fa52,108193636,"2,624.470497128180000000"
0x2f707265e61300e8290c18e38ebcbd129fb0b0f5,90045538,"2,608.089359494180000000"
